old_file path,new_file path,commit SHA,parent commit SHA,new_file_MCC,test_name,test_id,issue_severity,issue_confidence,line_number,col_offset,end_col_offset,line_range,issue_cwe
pyproject.toml,pyproject.toml,8cc5da85711a24a15715f93fb49ed532aef5a8e2,0fc0d4b5c80035949f6f0265b8dd4a4de811a6dd,,,,,,,,,,
.travis.yml,.travis.yml,16ac6e7655750ea23f7a756700be9262b6e912f0,8cc5da85711a24a15715f93fb49ed532aef5a8e2,,,,,,,,,,
.travis.yml,.travis.yml,37a96dac620aa72751936560f430756a1a099451,16ac6e7655750ea23f7a756700be9262b6e912f0,,,,,,,,,,
docker/manylinux2014/Dockerfile_aarch64,docker/manylinux2014/Dockerfile_aarch64,37a96dac620aa72751936560f430756a1a099451,16ac6e7655750ea23f7a756700be9262b6e912f0,,,,,,,,,,
.travis.yml,.travis.yml,f76794273354b316195e3beac0a6216ff22445d6,37a96dac620aa72751936560f430756a1a099451,,,,,,,,,,
pyproject.toml,pyproject.toml,39ca0fdafb0e7ba9a34491a48e0eddc549e87491,f76794273354b316195e3beac0a6216ff22445d6,,,,,,,,,,
pyproject.toml,pyproject.toml,7701ec78577301c235ad53ce613b4fa04a589963,36fb52ef04da2954ffe9727e73cb79a7eb931aab,,,,,,,,,,
setup.py,setup.py,a5fc2953c61ebfd6c4b0b025abbe3890edbc5a3f,39ca0fdafb0e7ba9a34491a48e0eddc549e87491,61,blacklist,B404,LOW,HIGH,6,0,17,[6],https://cwe.mitre.org/data/definitions/78.html
setup.py,setup.py,a5fc2953c61ebfd6c4b0b025abbe3890edbc5a3f,39ca0fdafb0e7ba9a34491a48e0eddc549e87491,61,start_process_with_partial_path,B607,LOW,HIGH,167,8,77,[167],https://cwe.mitre.org/data/definitions/78.html
setup.py,setup.py,a5fc2953c61ebfd6c4b0b025abbe3890edbc5a3f,39ca0fdafb0e7ba9a34491a48e0eddc549e87491,61,subprocess_popen_with_shell_equals_true,B602,LOW,HIGH,167,8,77,[167],https://cwe.mitre.org/data/definitions/78.html
setup.py,setup.py,a5fc2953c61ebfd6c4b0b025abbe3890edbc5a3f,39ca0fdafb0e7ba9a34491a48e0eddc549e87491,61,start_process_with_partial_path,B607,LOW,HIGH,178,12,83,[178],https://cwe.mitre.org/data/definitions/78.html
setup.py,setup.py,a5fc2953c61ebfd6c4b0b025abbe3890edbc5a3f,39ca0fdafb0e7ba9a34491a48e0eddc549e87491,61,subprocess_popen_with_shell_equals_true,B602,LOW,HIGH,178,12,83,[178],https://cwe.mitre.org/data/definitions/78.html
